Year,Start-Day,Start-Month,End-Day,End-Month,Parish Name,Total Parish Burials,Parish Plague Burials
1665,4,July,11,July,Alhallows Honylane,0,0
1665,11,July,18,July,Alhallows Honylane,0,0
1665,18,July,25,July,Alhallows Honylane,0,0
1665,25,July,1,August,Alhallows Honylane,0,0
1665,1,August,8,August,Alhallows Honylane,0,0
1665,8,August,15,August,Alhallows Honylane,1,1
1665,15,August,22,August,Alhallows Honylane,0,0
1665,22,August,29,August,Alhallows Honylane,1,1
1665,29,August,5,September,Alhallows Honylane,0,0
1665,5,September,12,September,Alhallows Honylane,1,1
1665,12,September,19,September,Alhallows Honylane,1,0
1665,19,September,26,September,Alhallows Honylane,1,1
1665,26,September,3,October,Alhallows Honylane,0,0
1665,3,October,10,October,Alhallows Honylane,1,1
1665,10,October,17,October,Alhallows Honylane,0,0
1665,17,October,24,October,Alhallows Honylane,0,0
1665,24,October,31,October,Alhallows Honylane,0,0
1665,31,October,7,November,Alhallows Honylane,0,0
1665,7,November,14,November,Alhallows Honylane,0,0
1665,14,November,21,November,Alhallows Honylane,0,0
1665,21,November,28,November,Alhallows Honylane,0,0
1665,28,November,5,December,Alhallows Honylane,0,0
1665,5,December,12,December,Alhallows Honylane,0,0
1665,12,December,19,December,Alhallows Honylane,0,0
1665,20,December,27,December,Alhallows Honylane,0,0
1665,27,December,3,January,Alhallows Honylane,0,0
1666,2,January,9,January,Alhallows Honylane,0,0
1666,9,January,16,January,Alhallows Honylane,0,0
1666,16,January,23,January,Alhallows Honylane,1,0
1666,23,January,30,January,Alhallows Honylane,0,0
1666,30,January,6,February,Alhallows Honylane,0,0
1666,6,February,13,February,Alhallows Honylane,0,0
1666,13,February,20,February,Alhallows Honylane,0,0
1666,20,February,27,February,Alhallows Honylane,0,0
1666,27,February,16,March,Alhallows Honylane,0,0
1666,6,March,13,March,Alhallows Honylane,0,0
1666,13,March,20,March,Alhallows Honylane,0,0
1666,20,March,27,March,Alhallows Honylane,0,0
1666,27,March,3,April,Alhallows Honylane,0,0
1666,3,April,10,April,Alhallows Honylane,0,0
1666,10,April,17,April,Alhallows Honylane,0,0
1666,17,April,24,April,Alhallows Honylane,0,0
1666,24,April,1,May,Alhallows Honylane,1,0
1666,1,May,8,May,Alhallows Honylane,0,0
1666,8,May,15,May,Alhallows Honylane,1,0
1666,15,May,22,May,Alhallows Honylane,0,0
1666,22,May,29,May,Alhallows Honylane,0,0
1666,29,May,5,June,Alhallows Honylane,0,0
1666,5,June,12,June,Alhallows Honylane,0,0
1666,12,June,19,June,Alhallows Honylane,0,0
1666,19,June,26,June,Alhallows Honylane,0,0
1666,26,June,3,July,Alhallows Honylane,0,0
1666,3,July,10,July,Alhallows Honylane,0,0
1666,10,July,17,July,Alhallows Honylane,0,0
1666,17,July,24,July,Alhallows Honylane,0,0
1666,24,July,31,July,Alhallows Honylane,1,0
1666,31,July,7,August,Alhallows Honylane,0,0
1666,7,August,14,August,Alhallows Honylane,0,0
1666,14,August,21,August,Alhallows Honylane,0,0
1666,21,August,28,August,Alhallows Honylane,0,0
1666,28,August,18,September,Alhallows Honylane,0,0
1666,19,December,26,December,Alhallows Honylane,0,0
1666,26,December,2,January,Alhallows Honylane,0,0
1665,3,January,10,January,Alhallows Lesse,3,0
1665,10,January,17,January,Alhallows Lesse,0,0
1665,17,January,24,January,Alhallows Lesse,1,0
1665,24,January,31,January,Alhallows Lesse,3,0
1665,31,January,7,February,Alhallows Lesse,3,0
1665,7,February,14,February,Alhallows Lesse,1,0
1665,14,February,21,February,Alhallows Lesse,2,0
1665,21,February,28,February,Alhallows Lesse,1,0
1665,28,February,7,March,Alhallows Lesse,2,0
1665,7,March,14,March,Alhallows Lesse,1,0
1665,14,March,21,March,Alhallows Lesse,2,0
1665,21,March,28,March,Alhallows Lesse,0,0
1665,28,March,4,April,Alhallows Lesse,1,0
1665,4,April,11,April,Alhallows Lesse,1,0
1665,11,April,18,April,Alhallows Lesse,0,0
1665,18,April,25,April,Alhallows Lesse,2,0
1665,25,April,2,May,Alhallows Lesse,1,0
1665,2,May,9,May,Alhallows Lesse,1,0
1665,9,May,16,May,Alhallows Lesse,2,0
1665,16,May,23,May,Alhallows Lesse,0,0
1665,23,May,30,May,Alhallows Lesse,0,0
1665,30,May,6,June,Alhallows Lesse,1,0
1665,6,June,13,June,Alhallows Lesse,0,0
1665,13,June,20,June,Alhallows Lesse,3,0
1665,20,June,27,June,Alhallows Lesse,0,0
1665,27,June,4,July,Alhallows Lesse,1,0
1665,4,July,11,July,Alhallows Lesse,1,0
1665,11,July,18,July,Alhallows Lesse,0,0
1665,18,July,25,July,Alhallows Lesse,2,2
1665,25,July,1,August,Alhallows Lesse,3,1
1665,1,August,8,August,Alhallows Lesse,2,1
1665,8,August,15,August,Alhallows Lesse,2,0
1665,15,August,22,August,Alhallows Lesse,3,2
1665,22,August,29,August,Alhallows Lesse,11,9
1665,29,August,5,September,Alhallows Lesse,17,16
1665,5,September,12,September,Alhallows Lesse,19,17
1665,12,September,19,September,Alhallows Lesse,29,26
1665,19,September,26,September,Alhallows Lesse,25,24
1665,26,September,3,October,Alhallows Lesse,17,17
1665,3,October,10,October,Alhallows Lesse,21,21
1665,10,October,17,October,Alhallows Lesse,18,16
1665,17,October,24,October,Alhallows Lesse,4,4
1665,24,October,31,October,Alhallows Lesse,7,3
1665,31,October,7,November,Alhallows Lesse,8,7
1665,7,November,14,November,Alhallows Lesse,3,3
1665,14,November,21,November,Alhallows Lesse,5,2
1665,21,November,28,November,Alhallows Lesse,2,2
1665,28,November,5,December,Alhallows Lesse,4,0
1665,5,December,12,December,Alhallows Lesse,0,0
1665,12,December,19,December,Alhallows Lesse,2,2
1665,20,December,27,December,Alhallows Lesse,2,0
1665,27,December,3,January,Alhallows Lesse,0,0
1666,2,January,9,January,Alhallows Lesse,2,2
1666,9,January,16,January,Alhallows Lesse,2,2
1666,16,January,23,January,Alhallows Lesse,0,0
1666,23,January,30,January,Alhallows Lesse,2,2
1666,30,January,6,February,Alhallows Lesse,0,0
1666,6,February,13,February,Alhallows Lesse,0,0
1666,13,February,20,February,Alhallows Lesse,4,3
1666,20,February,27,February,Alhallows Lesse,1,0
1666,27,February,16,March,Alhallows Lesse,0,0
1666,6,March,13,March,Alhallows Lesse,1,0
1666,13,March,20,March,Alhallows Lesse,0,0
1666,20,March,27,March,Alhallows Lesse,2,0
1666,27,March,3,April,Alhallows Lesse,0,0
1666,3,April,10,April,Alhallows Lesse,0,0
1666,10,April,17,April,Alhallows Lesse,3,0
1666,17,April,24,April,Alhallows Lesse,0,0
1666,24,April,1,May,Alhallows Lesse,0,0
1666,1,May,8,May,Alhallows Lesse,0,0
1666,8,May,15,May,Alhallows Lesse,0,0
1666,15,May,22,May,Alhallows Lesse,1,0
1666,22,May,29,May,Alhallows Lesse,0,0
1666,29,May,5,June,Alhallows Lesse,0,0
